TRANSACTION_ID,LINE_ITEM_ID,CUSTOMER_ID,TRANSACTION_DT,STORE_ID,CHANNEL_TYPE,PRODUCT_ID,QTY,UNIT_PRICE
S0000600000,1,1484,2018-04-19 17:42:00.000,82,S,911,4,80
S0000600001,1,1581,2018-04-09 06:07:00.000,7,S,907,8,89.99
S0000600002,1,1656,2018-05-16 07:03:00.000,115,S,904,3,5.89
S0000600003,1,1815,2018-04-08 14:13:00.000,54,S,902,7,2.89
S0000600004,1,1883,2018-03-29 15:26:00.000,24,S,901,7,2.15
S0000600005,1,1982,2018-03-29 08:14:00.000,68,S,900,2,0.99
S0000600006,1,1988,2018-03-26 01:09:00.000,40,S,902,2,2.89
S0000600007,1,2229,2018-04-11 11:53:00.000,104,S,908,8,82
S0000600008,1,2289,2018-04-17 23:50:00.000,115,S,900,8,0.99
S0000600009,1,2310,2018-04-18 04:43:00.000,61,S,906,4,24.99
S0000600010,1,2337,2018-05-02 22:15:00.000,38,S,902,6,2.89
S0000600011,1,2338,2018-04-10 11:55:00.000,33,S,902,7,2.89
S0000600012,1,2359,2018-04-13 14:24:00.000,89,S,911,5,80
S0000600013,1,2454,2018-03-31 07:37:00.000,78,S,900,6,0.99
S0000600014,1,2462,2018-04-22 02:18:00.000,65,S,911,2,80
S0000600015,1,2484,2018-04-21 12:21:00.000,55,S,909,4,190.5
S0000600016,1,2522,2018-05-14 02:13:00.000,68,S,902,3,2.89
S0000600017,1,2552,2018-05-07 09:12:00.000,64,S,901,1,2.15
S0000600018,1,2626,2018-05-01 17:57:00.000,38,S,908,4,82
S0000600019,1,2702,2018-05-08 17:13:00.000,31,S,911,6,80
S0000600020,1,2821,2018-05-09 14:38:00.000,116,S,906,1,24.99
S0000600021,1,3173,2018-03-24 05:37:00.000,68,S,900,1,0.99
S0000600022,1,3191,2018-04-13 07:58:00.000,115,S,903,1,299.99
S0000600023,1,3277,2018-03-13 22:04:00.000,52,S,902,2,2.89
S0000600024,1,3326,2018-05-02 21:39:00.000,90,S,905,4,399.89
S0000600025,1,3338,2018-04-24 23:15:00.000,59,S,907,3,89.99
S0000600026,1,3703,2018-04-28 18:35:00.000,68,S,904,2,5.89
S0000600027,1,3710,2018-03-30 19:04:00.000,115,S,906,3,24.99
S0000600028,1,3715,2018-05-03 19:48:00.000,73,S,907,1,89.99
S0000600029,1,3798,2018-03-23 19:27:00.000,102,S,907,5,89.99
S0000600030,1,3849,2018-04-03 14:01:00.000,18,S,904,3,5.89
S0000600031,1,4077,2018-03-27 19:53:00.000,112,S,908,1,82
S0000600032,1,4086,2018-03-25 20:03:00.000,23,S,900,6,0.99
S0000600033,1,4093,2018-04-21 07:37:00.000,104,S,905,3,399.89
S0000600034,1,4177,2018-03-26 23:53:00.000,71,S,907,8,89.99
S0000600035,1,4192,2018-03-16 07:42:00.000,118,S,905,8,399.89
S0000600036,1,4271,2018-04-07 04:56:00.000,34,S,906,6,24.99
S0000600037,1,4318,2018-03-21 10:14:00.000,108,S,909,7,190.5
S0000600038,1,4368,2018-04-05 17:06:00.000,54,S,902,2,2.89
S0000600039,1,4391,2018-05-03 12:24:00.000,111,S,903,6,299.99
S0000600040,1,4405,2018-03-24 04:12:00.000,103,S,906,2,24.99
S0000600041,1,4425,2018-04-20 13:59:00.000,26,S,910,1,1.99
S0000600042,1,4492,2018-05-13 16:58:00.000,30,S,910,4,1.99
S0000600043,1,4508,2018-04-24 12:28:00.000,119,S,903,2,299.99
S0000600044,1,4669,2018-05-12 20:38:00.000,32,S,900,7,0.99
S0000600045,1,4746,2018-03-29 17:00:00.000,66,S,905,3,399.89
S0000600046,1,4801,2018-03-16 23:14:00.000,48,S,910,6,1.99
S0000600047,1,4854,2018-03-18 19:13:00.000,28,S,904,7,5.89
S0000600048,1,4883,2018-04-24 20:28:00.000,49,S,907,1,89.99
S0000600049,1,4914,2018-05-02 08:48:00.000,104,S,906,8,24.99
S0000600050,1,5013,2018-04-16 05:57:00.000,44,S,903,5,299.99
S0000600051,1,5065,2018-03-17 19:27:00.000,49,S,906,1,24.99
S0000600052,1,5116,2018-04-06 07:01:00.000,60,S,901,2,2.15
S0000600053,1,5157,2018-05-12 16:59:00.000,30,S,908,8,82
S0000600054,1,5233,2018-05-03 19:49:00.000,107,S,904,4,5.89
S0000600055,1,5270,2018-03-31 17:59:00.000,35,S,909,1,190.5
S0000600056,1,5278,2018-05-10 21:22:00.000,66,S,905,5,399.89
S0000600057,1,5319,2018-04-21 19:50:00.000,108,S,900,8,0.99
S0000600058,1,5345,2018-05-14 15:26:00.000,73,S,906,3,24.99
S0000600059,1,5347,2018-04-12 21:38:00.000,92,S,909,4,190.5
S0000600060,1,5379,2018-05-13 14:07:00.000,60,S,904,2,5.89
